from_station,fare,transfer,time
こどもの国(愛知県),1166.6831683168316,1.900990099009901,0 days 01:42:52.574257425
りんくう常滑,995.3475935828877,1.1122994652406417,0 days 01:14:02.245989304
一ツ木,676.4864864864865,1.1486486486486487,0 days 01:05:55.405405405
七宝,676.0176991150443,1.075221238938053,0 days 00:58:01.592920353
三好ケ丘,951.2060301507538,1.8442211055276383,0 days 01:17:40.703517587
三柿野,859.4222222222222,1.2622222222222221,0 days 01:13:32.266666666
三河八橋,744.5754716981132,1.5235849056603774,0 days 01:00:22.641509433
三河知立,695.8293838862559,1.5260663507109005,0 days 00:56:07.109004739
三河高浜,889.906103286385,1.5446009389671362,0 days 01:13:02.535211267
三河鳥羽,1108.3743842364531,1.916256157635468,0 days 01:36:46.699507389
三河鹿島,1192.7322404371585,1.9234972677595628,0 days 01:49:26.229508196
上ゲ,785.056179775281,1.0,0 days 01:04:37.752808988
上丸渕,825.972850678733,1.669683257918552,0 days 01:20:20.633484162
上小田井,626.4795918367347,0.8418367346938775,0 days 00:49:45.918367346
上挙母,892.1198156682028,1.5345622119815667,0 days 01:11:55.852534562
上横須賀,1027.8971962616822,1.1168224299065421,0 days 01:19:17.943925233
上豊田,982.7272727272727,1.8038277511961722,0 days 01:22:12.631578947
上野間,1127.8260869565217,1.0978260869565217,0 days 01:21:34.891304347
上飯田,722.7179487179487,2.0,0 days 01:11:54.153846153
下小田井,600.1415094339623,1.0,0 days 00:50:01.981132075
不破一色,899.1071428571429,1.8392857142857142,0 days 01:17:54.642857142
中京競馬場前,612.2916666666666,0.8229166666666666,0 days 00:53:14.062500000
中小田井,612.8571428571429,1.0,0 days 00:50:40.571428571
中部国際空港(名古屋),1114.1871921182267,1.0,0 days 01:19:21.871921182
丸ノ内,618.8207547169811,1.2971698113207548,0 days 00:56:55.754716981
丸渕,822.1818181818181,1.6590909090909092,0 days 01:21:28.090909090
二ツ杁,619.1866028708134,0.8086124401913876,0 days 00:48:59.425837320
二十軒,837.4881516587677,1.3080568720379147,0 days 01:13:01.990521327
二子,769.9568965517242,1.668103448275862,0 days 01:09:29.741379310
五ノ三,880.3092783505155,1.0824742268041236,0 days 01:20:01.855670103
今伊勢,721.6814159292036,1.4115044247787611,0 days 01:04:27.610619469
伊奈,1115.981308411215,0.9439252336448598,0 days 01:13:43.738317757
住吉町,875.6497175141243,0.9717514124293786,0 days 01:05:34.237288135
佐屋,847.6106194690266,1.0619469026548674,0 days 01:13:05.575221238
八幡(愛知県),1151.2565445026178,1.057591623036649,0 days 01:25:43.664921465
八幡新田,760.1612903225806,1.2741935483870968,0 days 01:10:07.741935483
六軒(岐阜県),868.4888888888889,1.2622222222222221,0 days 01:14:09.866666666
六輪,807.7973568281939,1.6519823788546255,0 days 01:22:13.744493392
内海(愛知県),1210.3053435114505,1.015267175572519,0 days 01:25:04.580152671
切通,796.8780487804878,1.3170731707317074,0 days 01:10:38.926829268
刈谷,669.7350993377484,1.1655629139072847,0 days 00:50:32.185430463
